City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
143,Tura,IN,2021-04-14 20:43:20,25.5198,90.2201,77.18,50,100,6.38
144,Poretskoye,RU,2021-04-14 20:43:20,55.1974,46.3291,51.76,87,3,5.7
145,Vila Velha,BR,2021-04-14 20:38:33,-20.3297,-40.2925,78.8,65,0,18.41
146,Cuamba,MZ,2021-04-14 20:43:21,-14.8031,36.5372,64.33,85,52,4.34
147,Bredasdorp,ZA,2021-04-14 20:43:21,-34.5322,20.0403,57.2,94,0,1.14
148,Seoul,KR,2021-04-14 20:42:40,37.5683,126.9778,44.6,81,75,8.05
149,Yellowknife,CA,2021-04-14 20:43:22,62.456,-114.3525,41.0,42,1,10.36
150,Tevriz,RU,2021-04-14 20:43:22,57.509,72.4042,41.58,98,88,4.14
151,Tuktoyaktuk,CA,2021-04-14 20:43:23,69.4541,-133.0374,19.4,93,75,6.91
152,Husavik,IS,2021-04-14 20:43:24,66.0449,-17.3389,46.4,66,75,12.66
153,Whitehorse,CA,2021-04-14 20:43:24,60.7161,-135.0538,44.6,49,75,28.77
154,Mackay,AU,2021-04-14 20:43:25,-21.15,149.2,64.99,94,1,8.05
155,Hassleholm,SE,2021-04-14 20:43:25,56.1591,13.7664,41.0,75,75,2.46
156,Samdari,IN,2021-04-14 20:43:26,25.8167,72.5833,81.59,27,25,8.7
157,Bambous Virieux,MU,2021-04-14 20:43:26,-20.3428,57.7575,79.0,78,40,6.91
158,Niamey,NE,2021-04-14 20:43:27,13.5137,2.1098,98.6,9,65,4.61
159,Alta Floresta,BR,2021-04-14 20:43:27,-9.8756,-56.0861,77.88,90,97,1.74
160,San Patricio,US,2021-04-14 20:43:28,28.017,-97.5169,91.4,58,40,8.05
161,Pueblo Bello,CO,2021-04-14 20:43:28,8.2041,-76.526,82.96,80,100,4.7
162,Sao Paulo De Olivenca,BR,2021-04-14 20:43:29,-3.3783,-68.8725,80.6,77,100,2.17
163,Coihaique,CL,2021-04-14 20:43:29,-45.5752,-72.0662,55.4,50,40,6.91
164,Andenes,NO,2021-04-14 20:43:30,69.3143,16.1194,36.0,87,90,28.77
165,Olinda,BR,2021-04-14 20:41:45,-8.0089,-34.8553,80.6,74,40,8.05
166,Coquimbo,CL,2021-04-14 20:39:58,-29.9533,-71.3436,60.8,82,40,9.22
167,Goderich,CA,2021-04-14 20:39:13,43.7501,-81.7165,48.2,49,86,9.22
168,Kholmogory,RU,2021-04-14 20:43:31,64.2229,41.656,33.8,75,40,6.71
169,Grindavik,IS,2021-04-14 20:43:31,63.8424,-22.4338,44.6,93,75,16.11
170,Hobart,AU,2021-04-14 20:39:40,-42.8794,147.3294,54.0,62,40,12.66
171,Luanda,AO,2021-04-14 20:39:34,-8.8368,13.2343,80.6,83,40,3.44
172,Victoria,HK,2021-04-14 20:40:10,22.2855,114.1577,73.0,92,99,1.01
173,Mitsamiouli,KM,2021-04-14 20:43:32,-11.3847,43.2844,81.75,71,100,5.88
174,Pisco,PE,2021-04-14 20:43:33,-13.7,-76.2167,71.6,68,0,8.05
175,Hirara,JP,2021-04-14 20:43:33,24.8,125.2833,70.59,81,100,18.79
176,Port-Gentil,GA,2021-04-14 20:43:34,-0.7193,8.7815,80.6,83,20,5.75
177,Balarampur,IN,2021-04-14 20:43:36,23.1167,86.2167,83.26,39,93,7.27
178,Hailin,CN,2021-04-14 20:39:06,44.5833,129.4167,30.36,37,86,3.94
179,Klaksvik,FO,2021-04-14 20:43:36,62.2266,-6.589,44.6,100,75,9.22
180,Ormara,PK,2021-04-14 20:43:37,25.2088,64.6357,79.36,77,72,11.88
181,Zharkent,KZ,2021-04-14 20:43:38,44.1628,80.0,58.3,29,91,4.79
182,Flinders,AU,2021-04-14 20:43:38,-34.5833,150.8552,55.0,74,16,1.01
183,Boa Vista,BR,2021-04-14 20:43:39,2.8197,-60.6733,89.6,55,75,2.3
184,Ilulissat,GL,2021-04-14 20:43:39,69.2167,-51.1,17.6,67,75,18.41
185,Airai,TL,2021-04-14 20:43:40,-8.9266,125.4092,55.33,63,34,1.88
186,Sur,OM,2021-04-14 20:43:40,22.5667,59.5289,83.66,43,11,14.38
187,Leirvik,NO,2021-04-14 20:43:41,59.7798,5.5005,39.99,79,20,4.68
188,Touros,BR,2021-04-14 20:43:42,-5.1989,-35.4608,82.4,78,20,9.22
189,Butaritari,KI,2021-04-14 20:43:42,3.0707,172.7902,81.48,79,81,9.4
190,Neiafu,TO,2021-04-14 20:43:43,-18.65,-173.9833,77.0,83,20,2.3
191,Ardabil,IR,2021-04-14 20:43:43,38.2498,48.2933,47.41,74,4,0.43
192,Yakima,US,2021-04-14 20:41:33,46.4665,-120.6678,64.0,19,1,19.57
193,Pevek,RU,2021-04-14 20:43:44,69.7008,170.3133,-5.37,87,38,4.81
194,Novomykolayivka,UA,2021-04-14 20:43:44,47.9781,35.9102,44.6,81,0,2.24
195,Cabo San Lucas,MX,2021-04-14 20:43:18,22.8909,-109.9124,86.0,28,1,6.91
196,Marfino,RU,2021-04-14 20:43:45,55.7028,37.3822,57.2,33,0,2.24
197,Harper,LR,2021-04-14 20:41:50,4.375,-7.7169,81.41,79,69,8.75
198,San Carlos De Bariloche,AR,2021-04-14 20:43:45,-41.1456,-71.3082,64.99,42,40,24.16
199,Vardo,NO,2021-04-14 20:43:46,70.3705,31.1107,30.2,93,90,11.5
200,Korla,CN,2021-04-14 20:43:46,41.7597,86.1469,57.04,28,8,7.56
201,Phulabani,IN,2021-04-14 20:43:47,20.4667,84.2333,78.4,33,100,3.2
202,Tessalit,ML,2021-04-14 20:43:47,20.1986,1.0114,92.77,7,11,6.87
203,Mawlaik,MM,2021-04-14 20:43:48,23.6333,94.4167,75.96,33,26,1.36
204,Palaikastron,GR,2021-04-14 20:43:48,35.2,26.25,60.1,72,44,12.75
205,Akdepe,TM,2021-04-14 20:43:49,42.0551,59.3788,57.2,38,0,8.08
206,Wajir,KE,2021-04-14 20:43:50,1.7471,40.0573,83.44,57,41,11.79
207,Galveston,US,2021-04-14 20:43:50,29.3669,-94.9669,82.0,74,90,11.5
208,Maragogi,BR,2021-04-14 20:43:51,-9.0122,-35.2225,78.73,81,67,7.25
209,Georgetown,MY,2021-04-14 20:43:52,5.4112,100.3354,78.8,94,40,2.3
210,Fortuna,US,2021-04-14 20:43:52,40.5982,-124.1573,62.6,39,1,14.97
211,Port Hardy,CA,2021-04-14 20:43:53,50.6996,-127.4199,48.2,76,40,5.75
212,Geldermalsen,NL,2021-04-14 20:43:53,51.8667,5.2833,39.99,83,44,1.99
213,Leh,IN,2021-04-14 20:43:54,34.1667,77.5833,34.95,60,94,2.86
214,Sivaki,RU,2021-04-14 20:43:54,52.6333,126.75,21.78,62,51,5.39
215,Xapuri,BR,2021-04-14 20:43:55,-10.6517,-68.5044,81.88,74,94,2.3
216,Cherskiy,RU,2021-04-14 20:43:56,68.75,161.3,4.48,75,56,2.82
217,Jamsa,FI,2021-04-14 20:43:56,61.8642,25.19,30.2,69,0,3.44
218,Sabang,ID,2021-04-14 20:43:56,5.8933,95.3214,81.54,73,84,5.55
219,Katsuura,JP,2021-04-14 20:43:57,35.1333,140.3,46.99,66,75,20.71
220,Noyabrsk,RU,2021-04-14 20:43:57,63.1994,75.4507,35.46,99,100,20.18
221,Khorol,UA,2021-04-14 20:43:58,49.7837,33.2783,49.44,85,100,4.36
222,Zhelyabovka,UA,2021-04-14 20:43:58,45.3988,34.7578,46.15,91,31,6.6
223,Reconquista,AR,2021-04-14 20:43:59,-29.15,-59.65,77.94,56,40,2.26
224,Wad Madani,SD,2021-04-14 20:44:00,14.4012,33.5199,86.83,9,0,10.27
225,Chuy,UY,2021-04-14 20:44:00,-33.6971,-53.4616,65.39,76,0,9.73
226,Tyup,KG,2021-04-14 20:44:01,42.7276,78.3648,44.92,47,6,3.04
227,Marathon,US,2021-04-14 20:44:01,44.9,-89.7668,42.8,52,90,12.66
228,Inhambane,MZ,2021-04-14 20:44:02,-23.865,35.3833,72.09,75,0,6.42
229,Port Macquarie,AU,2021-04-14 20:44:03,-31.4333,152.9167,61.0,73,45,1.99
230,Belmonte,BR,2021-04-14 20:44:03,-15.8631,-38.8828,73.4,83,75,3.44
231,Rokytne,UA,2021-04-14 20:44:04,51.2796,27.214,45.12,97,100,3.62
