City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
201,Upernavik,GL,72.7868,-56.1549,6.15,90,100,10.31,overcast clouds
202,Luganville,VU,-15.5333,167.1667,82.71,75,93,7.18,overcast clouds
203,Lazaro Cardenas,MX,17.9583,-102.2,72.64,73,0,4.09,clear sky
204,Nome,US,64.5011,-165.4064,33.8,69,1,5.68,clear sky
205,Namibe,AO,-15.1961,12.1522,81.72,66,8,4.14,clear sky
206,Tura,IN,25.5198,90.2201,89.76,35,3,6.91,clear sky
207,Margate,GB,51.3813,1.3862,39.99,79,84,1.01,broken clouds
208,Pingdu,CN,36.7844,119.9464,68.0,18,0,8.95,clear sky
209,Ancud,CL,-41.8697,-73.8203,46.99,68,100,14.0,light rain
210,Bongandanga,CD,1.5,21.05,75.78,81,100,3.58,overcast clouds
211,Rio Grande,BR,-32.035,-52.0986,68.23,82,21,8.72,few clouds
212,Maneromango,TZ,-7.1988,38.7848,77.0,88,40,11.5,scattered clouds
213,Qaanaaq,GL,77.484,-69.3632,-1.39,93,100,6.2,overcast clouds
214,Yucca Valley,US,34.1142,-116.4322,60.01,18,4,11.99,clear sky
215,General Roca,AR,-39.0333,-67.5833,55.4,71,0,5.21,clear sky
216,Russell,US,32.3502,-85.1999,64.4,88,75,3.83,broken clouds
217,Wasilla,US,61.5814,-149.4394,53.6,28,1,4.61,clear sky
218,Opuwo,NA,-18.0607,13.84,70.41,43,93,9.08,overcast clouds
219,Verkhoyansk,RU,67.5447,133.385,23.67,78,100,11.41,overcast clouds
220,Clyde River,CA,70.4692,-68.5914,5.0,85,90,12.66,light snow
221,Tabou,CI,4.423,-7.3528,76.96,87,86,4.83,overcast clouds
222,Constitucion,CL,-35.3333,-72.4167,54.05,88,97,2.84,overcast clouds
223,Ostrovnoy,RU,68.0531,39.5131,29.91,75,91,12.37,overcast clouds
224,Nemuro,JP,43.3236,145.575,44.6,93,75,16.11,mist
225,Hervey Bay,AU,-25.2986,152.8535,75.0,70,61,5.01,broken clouds
226,Rodrigues Alves,BR,-7.738,-72.6509,71.46,99,100,2.21,overcast clouds
227,Hauterive,FR,46.0901,3.4459,39.99,70,0,2.3,clear sky
228,Tahta,EG,26.7693,31.5021,69.8,24,0,3.44,clear sky
229,Sri Aman,MY,1.2376,111.4621,77.0,88,40,2.3,moderate rain
230,Potoru,SL,7.5072,-11.4786,74.91,92,100,1.66,overcast clouds
231,Ambunti,PG,-4.2365,142.8448,76.3,96,94,1.1,overcast clouds
232,Bacabal,BR,-4.2917,-44.7917,71.94,97,96,1.92,overcast clouds
233,Eganville,CA,45.5334,-77.0994,41.0,87,75,4.36,broken clouds
234,Rocha,UY,-34.4833,-54.3333,59.27,96,84,3.83,broken clouds
235,Yanam,IN,16.7333,82.2167,91.4,58,40,4.61,scattered clouds
236,Pachino,IT,36.7186,15.0907,50.0,100,75,2.3,broken clouds
237,Oriximina,BR,-1.7656,-55.8661,73.36,96,86,1.88,light rain
238,Scottsboro,US,34.6723,-86.0341,51.01,93,90,4.32,overcast clouds
239,Vila Franca Do Campo,PT,37.7167,-25.4333,60.8,94,75,13.8,broken clouds
240,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,48.2,40,100,8.95,overcast clouds
241,Champerico,GT,14.3,-91.9167,66.99,97,66,7.9,broken clouds
242,Merauke,ID,-8.4667,140.3333,78.08,88,100,3.83,light rain
243,Te Anau,NZ,-45.4167,167.7167,52.16,81,90,7.31,overcast clouds
244,Sucua,EC,-2.4667,-78.1667,66.87,96,86,3.49,light rain
245,Olafsvik,IS,64.8945,-23.7142,37.53,66,85,20.62,overcast clouds
246,Bilibino,RU,68.0546,166.4372,24.13,81,4,4.38,clear sky
247,Turayf,SA,31.6725,38.6637,69.8,43,75,4.61,broken clouds
248,Vawkavysk,BY,53.1561,24.4513,44.6,93,100,6.71,overcast clouds
249,Cairns,AU,-16.9167,145.7667,78.01,100,75,8.05,heavy intensity rain
250,Kavaratti,IN,10.5669,72.642,84.27,65,4,4.43,clear sky
251,Port Lincoln,AU,-34.7333,135.8667,66.69,47,36,11.18,scattered clouds
252,Vaitape,PF,-16.5167,-151.75,82.35,73,30,9.31,scattered clouds
253,Saskylakh,RU,71.9167,114.0833,12.74,88,100,13.53,overcast clouds
254,Brae,GB,60.3964,-1.353,42.8,75,8,18.41,clear sky
255,Gasa,PS,31.5,34.4667,86.0,33,2,1.99,clear sky
256,Vestmannaeyjar,IS,63.4427,-20.2734,40.01,57,100,21.47,overcast clouds
257,Khatanga,RU,71.9667,102.5,5.92,86,100,12.66,overcast clouds
258,Aleksandrov Gay,RU,50.147,48.5704,56.79,62,60,9.69,broken clouds
259,Baykit,RU,61.67,96.37,28.85,71,100,10.87,overcast clouds
260,Buraydah,SA,26.326,43.975,73.4,53,0,5.75,clear sky
261,Segou,ML,13.4317,-6.2157,80.71,40,48,5.01,scattered clouds
262,Lorengau,PG,-2.0226,147.2712,84.29,68,66,7.05,broken clouds
263,Loa Janan,ID,-0.583,117.095,81.73,81,100,2.35,overcast clouds
264,Mariental,NA,-24.6333,17.9667,65.5,54,10,5.82,clear sky
265,Nanortalik,GL,60.1432,-45.2371,24.06,53,0,21.34,clear sky
266,Neiafu,TO,-18.65,-173.9833,80.6,74,20,5.75,few clouds
267,Miri,MY,4.4148,114.0089,87.8,70,40,10.36,scattered clouds
268,Tezu,IN,27.9167,96.1667,90.3,32,68,7.67,broken clouds
269,Banda Aceh,ID,5.5577,95.3222,85.75,67,43,8.14,scattered clouds
270,Port-Gentil,GA,-0.7193,8.7815,77.0,94,40,2.59,light rain
271,Panguna,PG,-6.3164,155.4848,75.85,87,98,2.48,moderate rain
272,Kavieng,PG,-2.5744,150.7967,83.84,71,55,7.87,broken clouds
273,Bengkulu,ID,-3.8004,102.2655,83.91,65,92,6.33,overcast clouds
274,Codrington,AU,-38.2667,141.9667,63.18,63,76,15.21,broken clouds
275,Mattru,SL,7.6244,-11.8332,74.8,93,95,1.86,overcast clouds
276,Mahebourg,MU,-20.4081,57.7,80.6,83,75,11.5,light rain
277,Egvekinot,RU,66.3167,-179.1667,27.55,98,100,9.42,snow
278,Uzunovo,RU,54.5386,38.6173,46.69,82,100,4.9,moderate rain
279,Slobodskoy,RU,58.7322,50.1772,35.53,79,55,9.31,broken clouds
280,Yulara,AU,-25.2406,130.9889,75.2,22,0,12.66,clear sky
281,Buckingham,GB,51.9997,-0.9878,33.01,83,100,1.99,overcast clouds
282,Longyearbyen,SJ,78.2186,15.6401,37.4,65,40,23.02,light snow
283,Alofi,NU,-19.0595,-169.9187,78.8,78,3,3.44,clear sky
284,Machala,EC,-3.2667,-79.9667,74.08,87,96,1.07,overcast clouds
285,Balkanabat,TM,39.5108,54.3671,79.41,19,2,12.24,clear sky
286,Berbera,SO,10.4396,45.0143,84.18,68,64,3.42,broken clouds
287,Klaksvik,FO,62.2266,-6.589,44.6,100,100,24.16,mist
288,Moranbah,AU,-22.0016,148.0466,82.92,35,1,13.13,clear sky
289,Prince Rupert,CA,54.3161,-130.3201,53.6,76,1,2.3,clear sky
290,Stryn,NO,61.9045,6.7226,37.99,75,1,5.3,clear sky
291,Shache,CN,38.4167,77.2406,69.17,25,100,1.9,overcast clouds
292,Mildura,AU,-34.2,142.15,68.0,37,75,6.91,broken clouds
293,Atambua,ID,-9.1061,124.8925,82.26,63,87,4.92,overcast clouds
294,Taltal,CL,-25.4,-70.4833,62.89,80,3,2.26,clear sky
295,Honiara,SB,-9.4333,159.95,82.26,84,97,3.49,overcast clouds
296,Kez,RU,57.8979,53.7152,37.65,57,39,11.63,scattered clouds
297,Maturin,VE,9.75,-63.1767,71.38,94,45,4.5,scattered clouds
298,Malartic,CA,48.1335,-78.1328,41.0,81,1,8.05,clear sky
299,Touros,BR,-5.1989,-35.4608,75.2,94,40,3.44,light rain
300,San Ignacio,BZ,17.1561,-89.0714,84.2,79,20,6.91,few clouds
301,Bossangoa,CF,6.4926,17.4552,78.37,63,85,6.8,overcast clouds
302,Mgandu,TZ,-5.95,34.1333,61.66,94,99,8.41,overcast clouds
303,Mnogovershinnyy,RU,53.9353,139.9242,34.21,97,95,3.18,overcast clouds
304,Carangola,BR,-20.7331,-42.0294,63.63,94,93,4.09,overcast clouds
305,Nowogard,PL,53.6744,15.1163,41.0,100,40,5.75,moderate rain
306,Contamana,PE,-7.3333,-75.0167,72.01,99,100,2.08,overcast clouds
307,Lata,PT,40.1629,-8.3327,48.99,93,0,2.3,clear sky
308,Bukoba,TZ,-1.3317,31.8122,66.2,88,20,5.75,light rain
309,Priladozhskiy,RU,59.85,31.4833,44.01,2,7,7.52,clear sky
310,Masuguru,TZ,-11.3667,38.4167,72.01,75,3,8.25,clear sky
311,Huilong,CN,31.8111,121.655,68.0,34,65,3.0,broken clouds
312,Natal,BR,-5.795,-35.2094,75.2,94,75,3.44,broken clouds
313,Katherine,AU,-14.4667,132.2667,89.6,22,62,10.36,broken clouds
314,Airai,TL,-8.9266,125.4092,68.18,72,87,4.07,overcast clouds
315,Rio Grande City,US,26.3798,-98.8203,62.01,76,100,7.2,overcast clouds
316,Bukachacha,RU,52.9833,116.9167,51.31,33,93,11.5,overcast clouds
317,Karakol,KG,42.4907,78.3936,54.77,43,100,7.4,overcast clouds
318,Aksarayskiy,RU,46.7924,48.0119,60.8,55,0,8.95,clear sky
319,Amahai,ID,-3.3333,128.9167,88.0,82,92,1.01,overcast clouds
320,Zhigansk,RU,66.7697,123.3711,19.87,84,100,9.98,light snow
321,Narsaq,GL,60.9167,-46.05,21.2,38,0,4.61,clear sky
322,Challapata,BO,-18.9,-66.7667,45.3,52,0,6.06,clear sky
323,Nara,JP,34.6851,135.8049,60.01,58,75,6.91,broken clouds
324,Herat,AF,34.5,62.0,71.6,23,0,6.91,clear sky
325,Stromness,GB,58.965,-3.296,42.8,87,100,17.27,overcast clouds
326,Abasolo,MX,20.45,-101.5167,68.0,22,1,2.8,clear sky
327,Borovoy,RU,55.4333,86.0833,41.0,42,0,15.66,clear sky
328,Kamaishi,JP,39.2667,141.8833,55.4,44,75,20.71,broken clouds
329,Urucara,BR,-2.5364,-57.76,71.83,98,87,1.68,overcast clouds
330,Price,US,39.5994,-110.8107,33.8,37,1,6.91,clear sky
331,Golden,US,39.7555,-105.2211,36.0,69,1,10.36,clear sky
332,Tanabe,JP,33.7333,135.3667,60.8,41,40,17.27,scattered clouds
333,Jumla,NP,29.2747,82.1838,60.91,36,17,4.76,few clouds
334,Fallon,US,39.4735,-118.7774,46.4,25,1,6.91,clear sky
335,Kailua,US,21.4022,-157.7394,73.4,64,40,11.5,scattered clouds
336,Beloha,MG,-25.1667,45.05,68.16,51,77,13.62,broken clouds
337,Westport,US,41.1415,-73.3579,48.2,61,90,4.61,overcast clouds
338,Perni,GR,41.0011,24.6356,53.01,76,20,4.61,few clouds
339,Honningsvag,NO,70.9821,25.9704,35.8,81,92,21.03,overcast clouds
340,Grand Gaube,MU,-20.0064,57.6608,84.99,72,77,5.01,broken clouds
341,Sao Felix Do Xingu,BR,-6.6447,-51.995,71.1,99,99,1.12,light rain
342,Perevoz,RU,55.5961,44.5446,48.04,58,6,14.65,clear sky
343,Nanning,CN,22.8167,108.3167,68.0,94,90,6.71,overcast clouds
344,Avera,US,33.194,-82.5271,62.6,77,40,5.75,scattered clouds
345,Havelock,US,34.8791,-76.9013,55.99,94,1,2.44,clear sky
346,Abashiri,JP,44.0213,144.2697,48.2,93,75,11.5,mist
347,Palmas Bellas,PA,9.2319,-80.0867,79.0,88,82,3.0,broken clouds
348,Viru,PE,-8.4167,-78.75,70.39,79,91,2.77,overcast clouds
349,Batemans Bay,AU,-35.7167,150.1833,66.99,63,15,4.0,few clouds
350,Bethel,US,41.3712,-73.414,46.4,71,90,4.05,overcast clouds
351,Marquette,US,46.5333,-87.6335,33.01,80,1,4.32,clear sky
352,Hay River,CA,60.8156,-115.7999,35.6,75,92,6.91,overcast clouds
353,Linhares,BR,-19.3911,-40.0722,67.8,95,55,2.26,broken clouds
354,Hailar,CN,49.2,119.7,45.64,68,10,7.9,clear sky
355,Pangody,RU,65.85,74.4859,3.92,90,63,12.88,broken clouds
356,Cosala,MX,24.4125,-106.6908,64.0,95,0,2.75,clear sky
357,Shepsi,RU,44.0361,39.1489,55.81,87,100,5.39,overcast clouds
358,Grootegast,NL,53.2125,6.2736,37.99,100,16,3.44,few clouds
359,Soyo,AO,-6.1349,12.3689,78.91,84,100,5.14,overcast clouds
360,Solnechnyy,RU,50.7214,136.6319,49.46,61,33,4.99,scattered clouds
361,Manicore,BR,-5.8092,-61.3003,73.4,94,75,2.66,broken clouds
362,Balakhninskiy,RU,58.0106,114.2769,21.16,65,100,13.91,overcast clouds
363,Beringovskiy,RU,63.05,179.3167,32.31,98,100,9.48,overcast clouds
364,Lodja,CD,-3.4833,23.4333,72.9,95,100,4.76,overcast clouds
365,Vardo,NO,70.3705,31.1107,35.24,88,60,14.63,broken clouds
366,Talnakh,RU,69.4865,88.3972,-4.27,84,33,4.29,scattered clouds
367,Wuchang,CN,44.9143,127.15,58.46,29,16,8.88,few clouds
368,Hofn,IS,64.2539,-15.2082,43.3,91,100,11.18,overcast clouds
369,Yinchuan,CN,38.4681,106.2731,66.61,17,4,0.45,clear sky
370,Yaroslavskaya,RU,44.6106,40.4642,52.23,88,100,3.04,light rain
371,Bac Lieu,VN,9.285,105.7244,86.85,62,99,11.81,overcast clouds
372,Nouadhibou,MR,20.931,-17.0347,64.4,77,0,18.41,clear sky
373,Puerto Padre,CU,21.195,-76.6028,77.0,78,1,6.91,moderate rain
374,Esperance,AU,-33.8667,121.9,75.2,35,75,6.91,broken clouds
375,Katangli,RU,51.7102,143.2326,34.12,96,92,8.55,overcast clouds
376,Hit,IQ,33.6416,42.8251,85.12,14,11,4.65,few clouds
377,Warrington,GB,53.3925,-2.5802,44.01,90,100,3.74,overcast clouds
378,Helsinki,FI,60.1695,24.9355,45.0,45,0,10.36,clear sky
